system,code,language,concept_kind,source_display,preferred_display,synonyms,status,source_name,source_version,is_active
http://snomed.info/sct,90199006,nl-SR,procedure,Transurethral prostatectomy,TURP (Transurethrale resectie van de prostaat),TURP|transurethrale prostaatresectie,draft,CARE Suriname user-reviewed urology procedure terminology,SNOMED CT INT 20241101 / reviewed 2026-07-21,true
http://snomed.info/sct,386792000,nl-SR,procedure,Transurethral excision of neoplasm of urinary bladder,TURBT (Transurethrale resectie van blaastumor),TURBT|transurethrale resectie blaastumor,draft,CARE Suriname user-reviewed urology procedure terminology,SNOMED CT INT 20241101 / reviewed 2026-07-21,true
http://snomed.info/sct,386787002,nl-SR,procedure,Ureterorenoscopy,Ureterorenoscopie (URS),URS|ureterorenoscopie,draft,CARE Suriname user-reviewed urology procedure terminology,SNOMED CT INT 20241101 / reviewed 2026-07-21,true
http://snomed.info/sct,446297008,nl-SR,procedure,Lithotripsy using laser,Laserlithotripsie,steen-dusting|laservergruizing van steen,draft,CARE Suriname user-reviewed urology procedure terminology,SNOMED CT INT 20241101 / reviewed 2026-07-21,true
http://snomed.info/sct,26294005,nl-SR,procedure,Radical prostatectomy,Radicale prostatectomie,radicale prostaatverwijdering,draft,CARE Suriname user-reviewed urology procedure terminology,SNOMED CT INT 20241101 / reviewed 2026-07-21,true
http://snomed.info/sct,64063003,nl-SR,procedure,Radical cystectomy,Radicale cystectomie,radicale blaasverwijdering,draft,CARE Suriname user-reviewed urology procedure terminology,SNOMED CT INT 20241101 / reviewed 2026-07-21,true
http://snomed.info/sct,108022006,nl-SR,procedure,Kidney excision,Nefrectomie,nierverwijdering,draft,CARE Suriname user-reviewed urology procedure terminology,SNOMED CT INT 20241101 / reviewed 2026-07-21,true
http://snomed.info/sct,116033007,nl-SR,procedure,Radical nephrectomy,Radicale nefrectomie,radicale nierverwijdering,draft,CARE Suriname user-reviewed urology procedure terminology,SNOMED CT INT 20241101 / reviewed 2026-07-21,true
http://snomed.info/sct,81516001,nl-SR,procedure,Partial nephrectomy,Partiële nefrectomie,partiële nierverwijdering|niersparende nefrectomie,draft,CARE Suriname user-reviewed urology procedure terminology,SNOMED CT INT 20241101 / reviewed 2026-07-21,true
http://snomed.info/sct,72310004,nl-SR,procedure,Circumcision,Circumcisie,besnijdenis,draft,CARE Suriname user-reviewed urology procedure terminology,SNOMED CT INT 20241101 / reviewed 2026-07-21,true
http://snomed.info/sct,176136000,nl-SR,procedure,Cystostomy and insertion of suprapubic catheter,Plaatsen suprapubische katheter,suprapubische katheterisatie|SPC plaatsen,draft,CARE Suriname user-reviewed urology procedure terminology,SNOMED CT INT 20241101 / reviewed 2026-07-21,true
http://snomed.info/sct,736683003,nl-SR,procedure,Insertion of JJ stent into ureter,Plaatsen JJ-stent / Double-J,JJ-stent plaatsing|Double-J plaatsen|ureterstent plaatsen,draft,CARE Suriname user-reviewed urology procedure terminology,SNOMED CT INT 20241101 / reviewed 2026-07-21,true
